provincia,macro_sector,anio,vab,participacion_pct
Buenos Aires,Comercio,2020,25383.67781418272,15.09980823841268
Buenos Aires,"Administración pública, salud y educación",2020,20485.94572340202,12.186329115517907
Buenos Aires,Servicios financieros e inmobiliarios,2020,19576.812862100356,11.645519703683016
Buenos Aires,Transporte y comunicaciones,2020,17506.890118845702,10.414199454494739
Buenos Aires,"Agro, pesca y silvicultura",2020,15571.328273573923,9.262805518945251
Buenos Aires,Resto / no clasificado,2020,5908.9124919638325,3.514992830407063
Buenos Aires,Construcción,2020,4972.874401890894,2.958178496116455
Buenos Aires,Minería y energía,2020,4454.997560895027,2.650112775798207
Buenos Aires,Otros servicios,2020,4316.228832254715,2.567564407224671
Buenos Aires,Hotelería y gastronomía,2020,1628.4374834434873,0.9686970465131425
Buenos Aires,Industria manufacturera,2021,56091.198409936515,30.0896731582512
Buenos Aires,Comercio,2021,28924.616223309244,15.516378202984635
Buenos Aires,"Administración pública, salud y educación",2021,22295.61278890955,11.96030251980443
Buenos Aires,Servicios financieros e inmobiliarios,2021,19676.05359260946,10.555061015436825
Buenos Aires,Transporte y comunicaciones,2021,18772.427739366492,10.070318179623031
Buenos Aires,"Agro, pesca y silvicultura",2021,15427.45541378053,8.275934624743464
Buenos Aires,Resto / no clasificado,2021,7009.105044122781,3.75997814074415
Buenos Aires,Construcción,2021,6293.4954324178825,3.3760951085483364
Buenos Aires,Otros servicios,2021,5475.120205849317,2.9370842871304847
Buenos Aires,Minería y energía,2021,4516.9173417264365,2.4230640519049507
Buenos Aires,Hotelería y gastronomía,2021,1931.449741912689,1.0361107108284946
Buenos Aires,Industria manufacturera,2022,59080.405167947916,30.06503444883296
Buenos Aires,Comercio,2022,30892.71124202563,15.72078636003048
Buenos Aires,"Administración pública, salud y educación",2022,23200.28683590116,11.806239665441375
Buenos Aires,Transporte y comunicaciones,2022,20355.56988647396,10.35861057693764
Buenos Aires,Servicios financieros e inmobiliarios,2022,19766.374653592542,10.058778933547384
Buenos Aires,"Agro, pesca y silvicultura",2022,15741.899342576142,8.010790458853778
Buenos Aires,Resto / no clasificado,2022,7469.641247335371,3.8011760546184803
Buenos Aires,Construcción,2022,6556.506674224861,3.3364970748629084
Buenos Aires,Otros servicios,2022,6067.578489206871,3.087689662595092
Buenos Aires,Minería y energía,2022,4792.5965747035125,2.4388725958838027
Buenos Aires,Hotelería y gastronomía,2022,2585.119302269281,1.3155241683960937
Buenos Aires,Industria manufacturera,2023,58077.88159251901,30.10908583603721
Buenos Aires,Comercio,2023,31033.104278423467,16.088369183873656
Buenos Aires,"Administración pública, salud y educación",2023,23588.609060751238,12.228949050620482
Buenos Aires,Transporte y comunicaciones,2023,20167.552628611444,10.45538433130241
Buenos Aires,Servicios financieros e inmobiliarios,2023,19900.127533759834,10.316744199899361
Buenos Aires,"Agro, pesca y silvicultura",2023,12220.722684891361,6.335540798120248
Buenos Aires,Resto / no clasificado,2023,7513.886017281506,3.8953941303132873
Buenos Aires,Construcción,2023,6669.894048379167,3.4578467208726527
Buenos Aires,Otros servicios,2023,6219.42547514127,3.2243120848606517
Buenos Aires,Minería y energía,2023,4794.805094986657,2.4857517907577695
Buenos Aires,Hotelería y gastronomía,2023,2705.539036377837,1.4026218733422726
Buenos Aires,Industria manufacturera,2024,52833.847380330815,28.25078470157493
Buenos Aires,Comercio,2024,28858.62783082481,15.430995887212733
Buenos Aires,"Administración pública, salud y educación",2024,22990.214099568348,12.293096584365212
Buenos Aires,Transporte y comunicaciones,2024,20356.40777716798,10.88477409699928
Buenos Aires,Servicios financieros e inmobiliarios,2024,20035.692566176727,10.713284477645775
Buenos Aires,"Agro, pesca y silvicultura",2024,15706.473977429861,8.39840815610279
Buenos Aires,Resto / no clasificado,2024,7287.694885123646,3.8968030794411517
Buenos Aires,Otros servicios,2024,6000.598385053566,3.2085797544979973
Buenos Aires,Construcción,2024,5580.374212258322,2.98388170162715
Buenos Aires,Minería y energía,2024,4536.767270082101,2.4258546697463466
Buenos Aires,Hotelería y gastronomía,2024,2830.5754313388593,1.5135368907866389
Catamarca,Minería y energía,2004,1691.6528928502173,43.84838714018946
Catamarca,"Administración pública, salud y educación",2004,509.7940368923858,13.21408569446794
Catamarca,Industria manufacturera,2004,453.40008703142286,11.752329706393096
Catamarca,Comercio,2004,385.7294967082752,9.998278236948256
Catamarca,"Agro, pesca y silvicultura",2004,193.23705992695244,5.0087895982212185
Catamarca,Servicios financieros e inmobiliarios,2004,178.7978679708911,4.634519390924652
Catamarca,Transporte y comunicaciones,2004,151.49942028260364,3.9269316182667167
Catamarca,Construcción,2004,109.87260628005872,2.8479462876999317
Catamarca,Resto / no clasificado,2004,85.34358152939829,2.212143175853464
Catamarca,Otros servicios,2004,64.34766192497554,1.667919703609186
Catamarca,Hotelería y gastronomía,2004,34.28450484893787,0.888669447426079
Catamarca,Minería y energía,2005,1947.720335682766,44.77407088910417
Catamarca,"Administración pública, salud y educación",2005,553.7110761167684,12.72867491289176
Catamarca,Industria manufacturera,2005,480.2973415532836,11.041044663640866
Catamarca,Comercio,2005,420.0897932659149,9.656997382472634
Catamarca,"Agro, pesca y silvicultura",2005,200.77719604969656,4.615453381141294
Catamarca,Servicios financieros e inmobiliarios,2005,194.5117105892972,4.471422800867955
Catamarca,Transporte y comunicaciones,2005,180.17695825781203,4.141896428262373
Catamarca,Construcción,2005,159.59888576197434,3.6688490097957067
Catamarca,Resto / no clasificado,2005,104.45936235527893,2.401305161444725
Catamarca,Otros servicios,2005,71.71714343034466,1.6486291204577248
Catamarca,Hotelería y gastronomía,2005,37.04796468229334,0.8516562499207813
Catamarca,Minería y energía,2006,1986.280781659887,43.30931699134767
Catamarca,"Administración pública, salud y educación",2006,634.093332795513,13.825914949039344
Catamarca,Industria manufacturera,2006,511.7333667659816,11.15795047757374
Catamarca,Comercio,2006,466.0483477414359,10.161823953590389
Catamarca,Servicios financieros e inmobiliarios,2006,211.42433557433455,4.609944200045037
Catamarca,"Agro, pesca y silvicultura",2006,203.40603205020477,4.435111290082945
Catamarca,Transporte y comunicaciones,2006,196.73793227912142,4.289718529209305
Catamarca,Construcción,2006,150.8988516312277,3.290232810622961
Catamarca,Resto / no clasificado,2006,109.47144777906524,2.386940294213212
Catamarca,Otros servicios,2006,81.6324102573197,1.7799316014362858
Catamarca,Hotelería y gastronomía,2006,34.53985797535907,0.7531149028390982
Catamarca,Minería y energía,2007,1926.4173447595563,40.68329615458219
Catamarca,"Administración pública, salud y educación",2007,714.4931497688577,15.089116847675998
Catamarca,Industria manufacturera,2007,537.4744711256706,11.350724776132191
Catamarca,Comercio,2007,504.3652059195359,10.651502437054933
Catamarca,Transporte y comunicaciones,2007,235.4858986963603,4.97313969008503
Catamarca,Servicios financieros e inmobiliarios,2007,200.52278551979055,4.234766620657491
Catamarca,"Agro, pesca y silvicultura",2007,194.0927469800164,4.0989730124289165
Catamarca,Construcción,2007,169.06235973248644,3.570365512073256
Catamarca,Resto / no clasificado,2007,130.83248444261574,2.7630029005386936
Catamarca,Otros servicios,2007,84.01539378885394,1.7742900604346492
Catamarca,Hotelería y gastronomía,2007,38.393682161573224,0.8108219883366653
Catamarca,Minería y energía,2008,1644.0871954871575,36.084729831758004
Catamarca,"Administración pública, salud y educación",2008,747.823952485292,16.413378415220425
Catamarca,Industria manufacturera,2008,508.67510586040197,11.164495300186703
Catamarca,Comercio,2008,499.3597869398254,10.960040957699068
Catamarca,Transporte y comunicaciones,2008,248.22762582727552,5.448145840039735
Catamarca,"Agro, pesca y silvicultura",2008,226.4124141518399,4.969341539579593
Catamarca,Servicios financieros e inmobiliarios,2008,210.19618563787088,4.613424757049554
Catamarca,Construcción,2008,185.32335809212069,4.06751133797791
Catamarca,Resto / no clasificado,2008,152.8940453018185,3.355746783226976
Catamarca,Otros servicios,2008,88.9123027365828,1.951463664321282
Catamarca,Hotelería y gastronomía,2008,44.27343652284994,0.9717215729407503
Catamarca,Minería y energía,2009,1446.3174365661287,34.78391906512189
Catamarca,"Administración pública, salud y educación",2009,734.2194006418196,17.657968826402694
Catamarca,Industria manufacturera,2009,459.04095357169234,11.039930082377921
Catamarca,Comercio,2009,450.6931679707633,10.83916592689273
Catamarca,Transporte y comunicaciones,2009,254.05960686314305,6.110130860225026
Catamarca,Servicios financieros e inmobiliarios,2009,210.17271969961928,5.054651687727094
Catamarca,"Agro, pesca y silvicultura",2009,178.4248570884968,4.291115927432468
Catamarca,Resto / no clasificado,2009,148.64319473850364,3.574867262639727
Catamarca,Construcción,2009,145.42489038336737,3.497467076908874
Catamarca,Otros servicios,2009,89.42011677587794,2.1505528634921314
Catamarca,Hotelería y gastronomía,2009,41.589640760398154,1.0002304207794428
Catamarca,Minería y energía,2010,1362.8259164263475,31.996928936773063
Catamarca,"Administración pública, salud y educación",2010,756.2564509422799,17.75566756334435
Catamarca,Industria manufacturera,2010,532.8987590104133,12.511593386235885
Catamarca,Comercio,2010,521.9815314372943,12.255274695320715
Catamarca,Transporte y comunicaciones,2010,249.2464521590878,5.8519000272535155
Catamarca,Servicios financieros e inmobiliarios,2010,221.88089389041005,5.209401368632411
Catamarca,"Agro, pesca y silvicultura",2010,200.85470162683748,4.715740680528805
Catamarca,Resto / no clasificado,2010,141.41410419611148,3.3201724358790763
Catamarca,Construcción,2010,127.97653270096576,3.004680181857048
Catamarca,Otros servicios,2010,92.9970390198298,2.1834187426157743
Catamarca,Hotelería y gastronomía,2010,50.90736975321133,1.195221981559348
Catamarca,Minería y energía,2011,1157.0239123070085,27.340820664448668
Catamarca,"Administración pública, salud y educación",2011,819.2778743702024,19.35978089929294
Catamarca,Comercio,2011,574.7412024438706,13.581306295697264
Catamarca,Industria manufacturera,2011,560.7809551121463,13.25142148115875
