provincia,anio,hhi
Río Negro,2024,0.06761031263504098
Salta,2004,0.07392868722489762
Salta,2005,0.07308029603181064
Salta,2006,0.07936107734674656
Salta,2007,0.07739917598416322
Salta,2008,0.07788073831217762
Salta,2009,0.07120794933061943
Salta,2010,0.07452347816968315
Salta,2011,0.07593808929194018
Salta,2012,0.06990214489018705
Salta,2013,0.0650683908560588
Salta,2014,0.06862331510549559
Salta,2015,0.07299734869618497
Salta,2016,0.06926261702582859
Salta,2017,0.07245274745987072
Salta,2018,0.07184438962828431
Salta,2019,0.07378673035193675
Salta,2020,0.0780164456823482
Salta,2021,0.07419093516728692
Salta,2022,0.07156884642167198
Salta,2023,0.07121341166142707
Salta,2024,0.06965679538675114
San Juan,2004,0.07048286152772348
San Juan,2005,0.07027050229540112
San Juan,2006,0.06591603285387802
San Juan,2007,0.06628477556916967
San Juan,2008,0.06729184936889274
San Juan,2009,0.07285356945100921
San Juan,2010,0.08221714161618694
San Juan,2011,0.0774155144403946
San Juan,2012,0.07524207206229992
San Juan,2013,0.07060178456306343
San Juan,2014,0.0715540885380517
San Juan,2015,0.06857128627977678
San Juan,2016,0.06496693612861672
San Juan,2017,0.06651099465600932
San Juan,2018,0.06378234390792355
San Juan,2019,0.06199924501133191
San Juan,2020,0.06581054209823717
San Juan,2021,0.06377359691124326
San Juan,2022,0.06261157286851729
San Juan,2023,0.06248451788006703
San Juan,2024,0.06688249321085964
San Luis,2004,0.05133237885050707
San Luis,2005,0.05132964724483629
San Luis,2006,0.05114951641187384
San Luis,2007,0.05080414252357603
San Luis,2008,0.0524229500346916
San Luis,2009,0.0533401873060449
San Luis,2010,0.05151337844929314
San Luis,2011,0.05287491258921365
San Luis,2012,0.052877365346663985
San Luis,2013,0.05446138854313928
San Luis,2014,0.05309767282340543
San Luis,2015,0.05529641343189549
San Luis,2016,0.056070809790956945
San Luis,2017,0.05539179427888917
San Luis,2018,0.05324399367349045
San Luis,2019,0.0534981145823301
San Luis,2020,0.0565023671243721
San Luis,2021,0.05556644967669711
San Luis,2022,0.05356677300642852
San Luis,2023,0.052804153217513965
San Luis,2024,0.056315797709916
Santa Cruz,2004,0.3146229214233633
Santa Cruz,2005,0.30166777382651555
Santa Cruz,2006,0.2752455947080139
Santa Cruz,2007,0.23012068553786763
Santa Cruz,2008,0.19727823434150848
Santa Cruz,2009,0.20764243756954745
Santa Cruz,2010,0.20517616721762785
Santa Cruz,2011,0.16435465325405446
Santa Cruz,2012,0.1882005126035968
Santa Cruz,2013,0.1833816789782368
Santa Cruz,2014,0.17500262625462715
Santa Cruz,2015,0.16145988191445854
Santa Cruz,2016,0.15686613128362642
Santa Cruz,2017,0.14784476073101258
Santa Cruz,2018,0.142635119897561
Santa Cruz,2019,0.13980033584079754
Santa Cruz,2020,0.13330563684607705
Santa Cruz,2021,0.11940473723185366
Santa Cruz,2022,0.11046473185075664
Santa Cruz,2023,0.11057789081453925
Santa Cruz,2024,0.1110047240702251
Santa Fe,2004,0.09019192157303979
Santa Fe,2005,0.09531388868165461
Santa Fe,2006,0.0882558080632518
Santa Fe,2007,0.08929155540866152
Santa Fe,2008,0.08622287206410227
Santa Fe,2009,0.0760193008239199
Santa Fe,2010,0.08794648775097852
Santa Fe,2011,0.08007950369768582
Santa Fe,2012,0.0761948948247184
Santa Fe,2013,0.08125124364706922
Santa Fe,2014,0.07924077421488414
Santa Fe,2015,0.08123780307654313
Santa Fe,2016,0.07387083319441047
Santa Fe,2017,0.07755625970566846
Santa Fe,2018,0.07225333690838119
Santa Fe,2019,0.07857653670330243
Santa Fe,2020,0.08503500055121295
Santa Fe,2021,0.08120478838342295
Santa Fe,2022,0.07576412009891378
Santa Fe,2023,0.07135235883038352
Santa Fe,2024,0.08050709163166819
Santiago del Estero,2004,0.12497707790845412
Santiago del Estero,2005,0.1167229103669391
Santiago del Estero,2006,0.13880445467841068
Santiago del Estero,2007,0.14713815645006745
Santiago del Estero,2008,0.1476729755343157
Santiago del Estero,2009,0.13614127026403888
Santiago del Estero,2010,0.154330861528707
Santiago del Estero,2011,0.1600837765742368
Santiago del Estero,2012,0.14975616753689425
Santiago del Estero,2013,0.1695349790844914
Santiago del Estero,2014,0.1806107425178291
Santiago del Estero,2015,0.1776312374995153
Santiago del Estero,2016,0.18232508523929977
Santiago del Estero,2017,0.18384194019413783
Santiago del Estero,2018,0.1658027198347292
Santiago del Estero,2019,0.18721997212066194
Santiago del Estero,2020,0.2010895400155609
Santiago del Estero,2021,0.18299795212856276
Santiago del Estero,2022,0.18919810719540595
Santiago del Estero,2023,0.16936625283380907
