provincia,anio,vab,nota_calidad,es_jurisdiccion
La Pampa,2011,5899.7452824501615,definitivo,True
La Pampa,2012,5904.047691236081,definitivo,True
La Pampa,2013,5959.897276703967,definitivo,True
La Pampa,2014,5680.71985629953,definitivo,True
La Pampa,2015,5989.238107158971,definitivo,True
La Pampa,2016,6197.514048229145,definitivo,True
La Pampa,2017,6017.231881698818,definitivo,True
La Pampa,2018,5917.22957811344,definitivo,True
La Pampa,2019,6057.460367764089,definitivo,True
La Pampa,2020,5441.994118819732,definitivo,True
La Pampa,2021,5878.04923327926,definitivo,True
La Pampa,2022,6448.564536034809,definitivo,True
La Pampa,2023,6125.781575533413,preliminar,True
La Pampa,2024,6148.65752108598,preliminar,True
La Rioja,2004,2520.3505146233074,definitivo,True
La Rioja,2005,2718.6692214556583,definitivo,True
La Rioja,2006,2851.7139365851463,definitivo,True
La Rioja,2007,3128.877358604225,definitivo,True
La Rioja,2008,3083.524513554361,definitivo,True
La Rioja,2009,2972.180221085298,definitivo,True
La Rioja,2010,3282.8738459625843,definitivo,True
La Rioja,2011,3460.6633689226383,definitivo,True
La Rioja,2012,3333.5046082027775,definitivo,True
La Rioja,2013,3489.5395247334413,definitivo,True
La Rioja,2014,3366.1925939243497,definitivo,True
La Rioja,2015,3440.84489543921,definitivo,True
La Rioja,2016,3390.7322745393044,definitivo,True
La Rioja,2017,3500.4297548849117,definitivo,True
La Rioja,2018,3375.698059510103,definitivo,True
La Rioja,2019,3291.6598094594306,definitivo,True
La Rioja,2020,2908.454225577855,definitivo,True
La Rioja,2021,3214.7336262108192,definitivo,True
La Rioja,2022,3480.5758953062214,definitivo,True
La Rioja,2023,3462.9670408966936,preliminar,True
La Rioja,2024,3218.3445988488265,preliminar,True
Mendoza,2004,16294.445001773262,definitivo,True
Mendoza,2005,16880.824503402746,definitivo,True
Mendoza,2006,18538.146724464867,definitivo,True
Mendoza,2007,19725.611377206435,definitivo,True
Mendoza,2008,20460.11448189046,definitivo,True
Mendoza,2009,19279.82953066335,definitivo,True
Mendoza,2010,20145.17294505129,definitivo,True
Mendoza,2011,21286.625291997538,definitivo,True
Mendoza,2012,21445.53840800319,definitivo,True
Mendoza,2013,21583.071611350122,definitivo,True
Mendoza,2014,21037.52200431936,definitivo,True
Mendoza,2015,21786.253841590482,definitivo,True
Mendoza,2016,20738.70823267396,definitivo,True
Mendoza,2017,20987.501030313364,definitivo,True
Mendoza,2018,20986.92801970867,definitivo,True
Mendoza,2019,20689.43769646239,definitivo,True
Mendoza,2020,18038.465493179363,definitivo,True
Mendoza,2021,19098.095755221177,definitivo,True
Mendoza,2022,19870.1112119676,definitivo,True
Mendoza,2023,19751.352152088548,preliminar,True
Mendoza,2024,19570.14305174524,preliminar,True
Misiones,2004,5385.670902209469,definitivo,True
Misiones,2005,5745.407290248909,definitivo,True
Misiones,2006,6069.920730073431,definitivo,True
Misiones,2007,6355.842168543137,definitivo,True
Misiones,2008,6302.007198376822,definitivo,True
Misiones,2009,5984.9134550720455,definitivo,True
